#LIBRARY    ENDF/B-VIII.0
#REACTION   H-1(N,G)H-2,SIG
#NUCLEUS    H-1
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       16.7288      Lin-Lin
 1.10304E-05 15.9283      Lin-Lin
 1.21669E-05 15.1661      Lin-Lin
 1.34206E-05 14.4404      Lin-Lin
 1.48034E-05 13.7494      Lin-Lin
 1.63286E-05 13.0915      Lin-Lin
 1.80111E-05 12.4651      Lin-Lin
 1.98669E-05 11.8686      Lin-Lin
 2.19139E-05 11.3007      Lin-Lin
 2.41719E-05 10.7599      Lin-Lin
 2.66625E-05 10.2451      Lin-Lin
 2.94097E-05 9.75484      Lin-Lin
 3.244E-05   9.28806      Lin-Lin
 3.57825E-05 8.84362      Lin-Lin
 3.94694E-05 8.42044      Lin-Lin
 4.35362E-05 8.01752      Lin-Lin
 4.80221E-05 7.63387      Lin-Lin
 5.29701E-05 7.26858      Lin-Lin
 5.8428E-05  6.92077      Lin-Lin
 6.44482E-05 6.58961      Lin-Lin
 7.10888E-05 6.27429      Lin-Lin
 7.84136E-05 5.97406      Lin-Lin
 8.64931E-05 5.6882       Lin-Lin
 9.54051E-05 5.41601      Lin-Lin
 0.000105235 5.15685      Lin-Lin
 0.000116078 4.91009      Lin-Lin
 0.000128039 4.67514      Lin-Lin
 0.000141232 4.45143      Lin-Lin
 0.000155784 4.23842      Lin-Lin
 0.000171835 4.03561      Lin-Lin
 0.00018954  3.8425       Lin-Lin
 0.00020907  3.65864      Lin-Lin
 0.000230612 3.48357      Lin-Lin
 0.000254374 3.31688      Lin-Lin
 0.000280584 3.15816      Lin-Lin
 0.000309494 3.00704      Lin-Lin
 0.000341383 2.86315      Lin-Lin
 0.000376558 2.72615      Lin-Lin
 0.000415358 2.5957       Lin-Lin
 0.000458155 2.47149      Lin-Lin
 0.000505362 2.35323      Lin-Lin
 0.000557433 2.24062      Lin-Lin
 0.000614869 2.13341      Lin-Lin
 0.000678223 2.03132      Lin-Lin
 0.000748105 1.93412      Lin-Lin
 0.000825188 1.84157      Lin-Lin
 0.000910213 1.75345      Lin-Lin
 0.001004    1.66955      Lin-Lin
 0.00110745  1.58966      Lin-Lin
 0.00122155  1.51359      Lin-Lin
 0.00134742  1.44117      Lin-Lin
 0.00148625  1.3722       Lin-Lin
 0.00163939  1.30654      Lin-Lin
 0.00180831  1.24402      Lin-Lin
 0.00199463  1.1845       Lin-Lin
 0.00220016  1.12782      Lin-Lin
 0.00242685  1.07385      Lin-Lin
 0.00267691  1.02247      Lin-Lin
 0.00295273  0.973539     Lin-Lin
 0.00325697  0.926955     Lin-Lin
 0.00359256  0.882599     Lin-Lin
 0.00396272  0.840366     Lin-Lin
 0.00437103  0.800154     Lin-Lin
 0.00482141  0.761866     Lin-Lin
 0.00531819  0.72541      Lin-Lin
 0.00586616  0.690698     Lin-Lin
 0.00647059  0.657648     Lin-Lin
 0.0071373   0.626179     Lin-Lin
 0.00787271  0.596215     Lin-Lin
 0.00868389  0.567686     Lin-Lin
 0.00957865  0.540522     Lin-Lin
 0.0105656   0.514657     Lin-Lin
 0.0116543   0.49003      Lin-Lin
 0.0128551   0.466582     Lin-Lin
 0.0141796   0.444256     Lin-Lin
 0.0156406   0.422998     Lin-Lin
 0.0172522   0.402757     Lin-Lin
 0.0190298   0.383485     Lin-Lin
 0.0209906   0.365134     Lin-Lin
 0.0231534   0.347662     Lin-Lin
 0.0252419   0.332969     Lin-Lin
 0.0253      0.332587     Lin-Lin
 0.0279068   0.316672     Lin-Lin
 0.0307823   0.301519     Lin-Lin
 0.033954    0.287091     Lin-Lin
 0.0374525   0.273354     Lin-Lin
 0.0413115   0.260273     Lin-Lin
 0.0455681   0.247819     Lin-Lin
 0.0502633   0.235961     Lin-Lin
 0.0554423   0.22467      Lin-Lin
 0.0611549   0.213919     Lin-Lin
 0.0674561   0.203683     Lin-Lin
 0.0744066   0.193936     Lin-Lin
 0.0820732   0.184656     Lin-Lin
 0.0905297   0.17582      Lin-Lin
 0.0998577   0.167407     Lin-Lin
 0.110147    0.159397     Lin-Lin
 0.121496    0.151769     Lin-Lin
 0.134014    0.144507     Lin-Lin
 0.147823    0.137592     Lin-Lin
 0.163054    0.131008     Lin-Lin
 0.179855    0.124739     Lin-Lin
 0.198386    0.118771     Lin-Lin
 0.218827    0.113087     Lin-Lin
 0.241375    0.107676     Lin-Lin
 0.266245    0.102524     Lin-Lin
 0.293678    0.0976177    Lin-Lin
 0.323938    0.0929466    Lin-Lin
 0.357316    0.088499     Lin-Lin
 0.394132    0.0842642    Lin-Lin
 0.434743    0.0802321    Lin-Lin
 0.479537    0.076393     Lin-Lin
 0.528947    0.0727376    Lin-Lin
 0.583448    0.0692573    Lin-Lin
 0.643565    0.0659439    Lin-Lin
 0.709876    0.0627896    Lin-Lin
 0.78302     0.0597871    Lin-Lin
 0.8637      0.0569293    Lin-Lin
 0.952693    0.0542093    Lin-Lin
 1.05086     0.05162      Lin-Lin
 1.15913     0.0491544    Lin-Lin
 1.27857     0.0468057    Lin-Lin
 1.4103      0.0445677    Lin-Lin
 1.55562     0.0424352    Lin-Lin
 1.7159      0.0404042    Lin-Lin
 1.89271     0.0384703    Lin-Lin
 2.08772     0.0366296    Lin-Lin
 2.30284     0.0348775    Lin-Lin
 2.54012     0.0332093    Lin-Lin
 2.80184     0.0316207    Lin-Lin
 3.09053     0.0301073    Lin-Lin
 3.40897     0.0286657    Lin-Lin
 3.76022     0.0272936    Lin-Lin
 4.14767     0.0259874    Lin-Lin
 4.57503     0.0247435    Lin-Lin
 5.04642     0.0235602    Lin-Lin
 5.56639     0.0224345    Lin-Lin
 6.13994     0.0213613    Lin-Lin
 6.77258     0.0203391    Lin-Lin
 7.4704      0.0193658    Lin-Lin
 8.24013     0.018437     Lin-Lin
 9.08917     0.0175535    Lin-Lin
 10.0257     0.0167136    Lin-Lin
 11.0587     0.0159146    Lin-Lin
 12.2842     0.0151       Lin-Lin
 13.5499     0.0143774    Lin-Lin
 14.9461     0.0136909    Lin-Lin
 16.6016     0.012988     Lin-Lin
 18.3121     0.0123659    Lin-Lin
 20.199      0.0117742    Lin-Lin
 22.2802     0.0112111    Lin-Lin
 24.7492     0.0106372    Lin-Lin
 27.1081     0.0101636    Lin-Lin
 30.1122     0.00964453   Lin-Lin
 33.4475     0.00914847   Lin-Lin
 36.8938     0.00871101   Lin-Lin
 40.6952     0.00829518   Lin-Lin
 44.8884     0.00789673   Lin-Lin
 49.5135     0.00751862   Lin-Lin
 55.0005     0.00713305   Lin-Lin
 60.6676     0.0067927    Lin-Lin
 66.9186     0.00646638   Lin-Lin
 73.8137     0.00615735   Lin-Lin
 81.4192     0.00586288   Lin-Lin
 89.8084     0.00558117   Lin-Lin
 99.7559     0.00529493   Lin-Lin
 110.811     0.00502322   Lin-Lin
 121.372     0.00480055   Lin-Lin
 132.947     0.00458554   Lin-Lin
 145.618     0.00438181   Lin-Lin
 158.387     0.00420137   Lin-Lin
 173.492     0.0040134    Lin-Lin
 190.027     0.00383461   Lin-Lin
 206.691     0.00367636   Lin-Lin
 226.402     0.00351154   Lin-Lin
 246.256     0.00336744   Lin-Lin
 267.85      0.00322739   Lin-Lin
 291.338     0.00309442   Lin-Lin
 314.667     0.00297688   Lin-Lin
 344.675     0.00284336   Lin-Lin
 377.526     0.00271646   Lin-Lin
 410.632     0.00260441   Lin-Lin
 449.791     0.00248741   Lin-Lin
 492.661     0.00237642   Lin-Lin
 535.863     0.00227773   Lin-Lin
 578.799     0.00219107   Lin-Lin
 642.909     0.00207711   Lin-Lin
 694.423     0.0019991    Lin-Lin
 750.027     0.00192211   Lin-Lin
 833.143     0.00182239   Lin-Lin
 906.203     0.00174713   Lin-Lin
 985.669     0.0016744    Lin-Lin
 1072.1      0.00160426   Lin-Lin
 1157.95     0.00154269   Lin-Lin
 1277.26     0.00146682   Lin-Lin
 1369.94     0.0014161    Lin-Lin
 1500.58     0.00135156   Lin-Lin
 1666.79     0.0012808    Lin-Lin
 1800.35     0.00123168   Lin-Lin
 1958.22     0.00117996   Lin-Lin
 2144.86     0.0011259    Lin-Lin
 2349.4      0.00107399   Lin-Lin
 2519.88     0.00103617   Lin-Lin
 2760.05     0.000988363  Lin-Lin
 3044.43     0.000939396  Lin-Lin
 3358.12     0.000892229  Lin-Lin
 3627.19     0.000857159  Lin-Lin
 3917.63     0.000823282  Lin-Lin
 4291.23     0.000784503  Lin-Lin
 4667.54     0.000750337  Lin-Lin
 5112.4      0.000715055  Lin-Lin
 5560.72     0.000683434  Lin-Lin
 6133.68     0.000648361  Lin-Lin
 6625.14     0.000621813  Lin-Lin
 7155.64     0.000596415  Lin-Lin
 7838.03     0.000567157  Lin-Lin
 8585.08     0.000539281  Lin-Lin
